day	month	year	flow			
18	11	1971	49.43
19	11	1971	45.89
20	11	1971	41.95
21	11	1971	38.74
22	11	1971	37.7
23	11	1971	43.33
24	11	1971	43.05
25	11	1971	46.76
26	11	1971	49.43
27	11	1971	53.45
28	11	1971	51.26
29	11	1971	47.34
30	11	1971	42.5
1	12	1971	48.23
2	12	1971	61.01
3	12	1971	57.65
4	12	1971	54.4
5	12	1971	51.26
6	12	1971	48.23
7	12	1971	45.31
8	12	1971	45.31
9	12	1971	51.26
10	12	1971	57.66
11	12	1971	64.49
12	12	1971	83.63
13	12	1971	75.62
14	12	1971	71.79
15	12	1971	68.08
16	12	1971	64.49
17	12	1971	62.05
18	12	1971	61.01
19	12	1971	62.39
20	12	1971	65.56
21	12	1971	67.72
22	12	1971	64.84
23	12	1971	68.08
24	12	1971	85.71
25	12	1971	86.12
26	12	1971	81.58
27	12	1971	74.85
28	12	1971	68.45
29	12	1971	62.74
30	12	1971	57.32
31	12	1971	52.5
1	1	1972	35.76
2	1	1972	31.08
3	1	1972	27.37
4	1	1972	24.14
5	1	1972	21.74
6	1	1972	19.46
7	1	1972	17.49
8	1	1972	15.99
9	1	1972	13.68
10	1	1972	12.8
11	1	1972	12.2
12	1	1972	13.66
13	1	1972	13.11
14	1	1972	12.62
15	1	1972	11.88
16	1	1972	11.34
17	1	1972	10.62
18	1	1972	9.6
19	1	1972	9.495
20	1	1972	9.747
21	1	1972	11.54
22	1	1972	16.67
23	1	1972	21.35
24	1	1972	24.34
25	1	1972	25.19
26	1	1972	27.84
27	1	1972	30.54
28	1	1972	30.15
29	1	1972	27.5
30	1	1972	24.97
31	1	1972	22.92
1	2	1972	21.43
2	2	1972	18.6
3	2	1972	16.26
4	2	1972	14.75
5	2	1972	13.94
6	2	1972	12.59
7	2	1972	11.69
8	2	1972	11.17
9	2	1972	10.35
10	2	1972	9.871
11	2	1972	9.717
12	2	1972	9.564
13	2	1972	11.52
14	2	1972	14.34
15	2	1972	14.75
16	2	1972	16.71
17	2	1972	17.4
18	2	1972	16.94
19	2	1972	14.96
20	2	1972	14.14
21	2	1972	13.16
22	2	1972	12.23
23	2	1972	12.05
24	2	1972	11
25	2	1972	10.19
26	2	1972	9.413
27	2	1972	9.717
28	2	1972	9.116
1	3	1972	8.684
2	3	1972	8.684
3	3	1972	8.684
4	3	1972	7.997
5	3	1972	7.864
6	3	1972	7.997
7	3	1972	7.864
8	3	1972	7.864
9	3	1972	7.997
10	3	1972	7.733
11	3	1972	7.225
12	3	1972	6.98
13	3	1972	6.741
14	3	1972	6.624
15	3	1972	6.394
16	3	1972	6.281
17	3	1972	6.394
18	3	1972	6.281
19	3	1972	6.394
20	3	1972	6.508
21	3	1972	6.741
22	3	1972	7.864
23	3	1972	9.717
24	3	1972	10.35
25	3	1972	10.35
26	3	1972	10.67
27	3	1972	11.34
28	3	1972	12.41
29	3	1972	13.35
30	3	1972	14.75
31	3	1972	19.35
1	4	1972	25.3
2	4	1972	33.48
3	4	1972	37.7
4	4	1972	39
5	4	1972	38.22
6	4	1972	39.23
7	4	1972	37.55
8	4	1972	35.22
9	4	1972	33.31
10	4	1972	30.19
11	4	1972	27.51
12	4	1972	25.59
13	4	1972	23.63
14	4	1972	22.56
15	4	1972	21.93
16	4	1972	21.7
17	4	1972	21.68
18	4	1972	21.83
19	4	1972	21.09
20	4	1972	19.09
21	4	1972	17.36
22	4	1972	15.83
23	4	1972	14.44
24	4	1972	13.24
25	4	1972	12.23
26	4	1972	11.36
27	4	1972	11
28	4	1972	16.07
29	4	1972	26.06
30	4	1972	27.15
1	5	1972	25.94
2	5	1972	24.21
3	5	1972	22.04
4	5	1972	20.98
5	5	1972	19.56
6	5	1972	17.61
7	5	1972	16.24
8	5	1972	14.8
9	5	1972	14.09
10	5	1972	12.83
11	5	1972	11.83
12	5	1972	11.04
13	5	1972	10.58
14	5	1972	9.975
15	5	1972	9.191
16	5	1972	8.744
17	5	1972	8.316
18	5	1972	7.997
19	5	1972	7.748
20	5	1972	7.531
21	5	1972	7.152
22	5	1972	7.075
23	5	1972	6.605
24	5	1972	6.447
25	5	1972	6.335
26	5	1972	6.165
27	5	1972	5.903
28	5	1972	5.781
29	5	1972	5.602
30	5	1972	5.644
31	5	1972	5.97
1	6	1972	31.58
2	6	1972	29.45
3	6	1972	28.94
4	6	1972	27.43
5	6	1972	25.89
6	6	1972	23.84
7	6	1972	21.94
8	6	1972	22.07
9	6	1972	21.1
10	6	1972	20.44
11	6	1972	19
12	6	1972	17.93
13	6	1972	16.94
14	6	1972	15.94
15	6	1972	14.84
16	6	1972	14.08
17	6	1972	13.75
18	6	1972	14.88
19	6	1972	15.87
20	6	1972	16.37
21	6	1972	22.32
22	6	1972	37.37
23	6	1972	43.96
24	6	1972	42.22
25	6	1972	39.09
26	6	1972	35.13
27	6	1972	31.65
28	6	1972	29.34
29	6	1972	26.44
30	6	1972	23.9
1	7	1972	21.51
2	7	1972	19.38
3	7	1972	18.56
4	7	1972	18.47
5	7	1972	19.26
6	7	1972	19.74
7	7	1972	18.74
8	7	1972	18.3
9	7	1972	18.42
10	7	1972	20.83
11	7	1972	23.08
12	7	1972	23.27
13	7	1972	21.83
14	7	1972	20.07
15	7	1972	17.99
16	7	1972	16.26
17	7	1972	14.59
18	7	1972	13.25
19	7	1972	12.03
20	7	1972	11.01
21	7	1972	10.03
22	7	1972	9.579
23	7	1972	8.86
24	7	1972	8.287
25	7	1972	7.564
26	7	1972	7.235
27	7	1972	6.899
28	7	1972	6.474
29	7	1972	6.202
30	7	1972	6.03
31	7	1972	5.619
1	8	1972	5.372
2	8	1972	5.195
3	8	1972	5.188
4	8	1972	5.126
5	8	1972	5.296
6	8	1972	5.308
7	8	1972	5.964
8	8	1972	8.82
9	8	1972	20.72
10	8	1972	23.76
11	8	1972	23.98
12	8	1972	22.35
13	8	1972	20.57
14	8	1972	18.51
15	8	1972	17.04
16	8	1972	21.05
17	8	1972	29.73
18	8	1972	31.3
19	8	1972	29.53
20	8	1972	27.09
21	8	1972	24.61
22	8	1972	22.55
23	8	1972	22.21
24	8	1972	21.71
25	8	1972	20.67
26	8	1972	18.78
27	8	1972	17.02
28	8	1972	15.53
29	8	1972	13.84
30	8	1972	12.62
31	8	1972	11.51
1	9	1972	10.58
2	9	1972	9.733
3	9	1972	8.94
4	9	1972	8.453
5	9	1972	7.843
6	9	1972	7.666
7	9	1972	7.528
8	9	1972	7.69
9	9	1972	7.572
10	9	1972	8.195
11	9	1972	9.079
12	9	1972	12.08
13	9	1972	21.6
14	9	1972	22.2
15	9	1972	21.15
16	9	1972	19.2
17	9	1972	17.29
18	9	1972	15.63
19	9	1972	14.19
20	9	1972	13.2
21	9	1972	12.85
22	9	1972	12.51
23	9	1972	12.09
24	9	1972	11.13
25	9	1972	10.27
26	9	1972	9.656
27	9	1972	9.136
28	9	1972	8.649
29	9	1972	8.312
30	9	1972	7.591
1	10	1972	7.103
2	10	1972	6.64
3	10	1972	6.309
4	10	1972	5.952
5	10	1972	5.726
6	10	1972	5.515
7	10	1972	5.347
8	10	1972	5.36
9	10	1972	5.35
10	10	1972	5.244
11	10	1972	5.39
12	10	1972	5.23
13	10	1972	5.039
14	10	1972	4.968
15	10	1972	4.842
16	10	1972	4.727
17	10	1972	4.593
18	10	1972	4.522
19	10	1972	4.374
20	10	1972	4.239
21	10	1972	4.243
22	10	1972	12.89
23	10	1972	25.17
24	10	1972	27.41
25	10	1972	32.91
26	10	1972	35.62
27	10	1972	32.99
28	10	1972	30.07
29	10	1972	28.99
30	10	1972	35.49
31	10	1972	35.69
1	11	1972	44.77
2	11	1972	45.92
3	11	1972	46.93
4	11	1972	44.14
5	11	1972	40.71
6	11	1972	38.02
7	11	1972	35.62
8	11	1972	33.71
9	11	1972	39.41
10	11	1972	41.45
11	11	1972	44.44
12	11	1972	44.88
13	11	1972	43.07
14	11	1972	39.95
15	11	1972	36.5
16	11	1972	33.21
17	11	1972	30.42
18	11	1972	27.93
19	11	1972	24.96
20	11	1972	23.99
21	11	1972	24.68
22	11	1972	25.19
23	11	1972	28.12
24	11	1972	28.07
25	11	1972	35.58
26	11	1972	39.62
27	11	1972	47.62
28	11	1972	54.75
29	11	1972	62.65
30	11	1972	62.29
1	12	1972	63.22
2	12	1972	62.17
3	12	1972	57.22
4	12	1972	54.3
5	12	1972	54.5
6	12	1972	53.03
7	12	1972	49.05
8	12	1972	44.77
9	12	1972	40.94
10	12	1972	37.78
11	12	1972	38.79
12	12	1972	43.11
13	12	1972	46.99
14	12	1972	45.89
15	12	1972	43.55
16	12	1972	40.17
17	12	1972	36.87
18	12	1972	33.08
19	12	1972	29.87
20	12	1972	26.76
21	12	1972	24.29
22	12	1972	22.24
23	12	1972	20.91
24	12	1972	20.32
25	12	1972	19.19
26	12	1972	16.63
27	12	1972	15.25
28	12	1972	14.96
29	12	1972	15.48
30	12	1972	15.33
31	12	1972	17.22
1	1	1973	19.41
2	1	1973	31.26
3	1	1973	33.42
4	1	1973	30.61
5	1	1973	27.86
6	1	1973	25.23
7	1	1973	22.84
8	1	1973	20.85
9	1	1973	18.57
10	1	1973	16.79
11	1	1973	15.25
12	1	1973	13.92
13	1	1973	12.7
14	1	1973	11.77
15	1	1973	10.79
16	1	1973	12.61
17	1	1973	13.38
18	1	1973	13.34
19	1	1973	13.11
20	1	1973	11.07
21	1	1973	11.12
22	1	1973	14.23
23	1	1973	17.26
24	1	1973	20.43
25	1	1973	23.06
26	1	1973	31.32
27	1	1973	36.05
28	1	1973	35.1
29	1	1973	34.19
30	1	1973	35.52
31	1	1973	37.56
1	2	1973	37.26
2	2	1973	36.96
3	2	1973	34.77
4	2	1973	36.57
5	2	1973	42.26
6	2	1973	57.28
7	2	1973	57.31
8	2	1973	54.89
9	2	1973	51
10	2	1973	47.29
11	2	1973	49.31
12	2	1973	51.7
13	2	1973	48.65
14	2	1973	44.77
15	2	1973	40.8
16	2	1973	36.79
17	2	1973	33.11
18	2	1973	34.17
19	2	1973	39.47
20	2	1973	43.97
21	2	1973	47.63
22	2	1973	46.96
23	2	1973	44.38
24	2	1973	41.45
25	2	1973	38.43
26	2	1973	34.16
27	2	1973	31.51
28	2	1973	31.19
1	3	1973	35.38
2	3	1973	40.58
3	3	1973	45.46
4	3	1973	46.03
5	3	1973	45.22
6	3	1973	43.02
7	3	1973	42.92
8	3	1973	42.68
9	3	1973	40.12
10	3	1973	36.42
11	3	1973	32.61
12	3	1973	28.9
13	3	1973	25.65
14	3	1973	23.11
15	3	1973	21.04
16	3	1973	18.57
17	3	1973	19.18
18	3	1973	23.39
19	3	1973	23.96
20	3	1973	22.77
21	3	1973	21.43
22	3	1973	20.35
23	3	1973	19.97
24	3	1973	18.81
25	3	1973	21.05
26	3	1973	23.85
27	3	1973	22.92
28	3	1973	22.48
29	3	1973	24.74
30	3	1973	31.9
31	3	1973	39.99
1	4	1973	41.77
2	4	1973	39.79
3	4	1973	37.79
4	4	1973	40.71
5	4	1973	43.26
6	4	1973	43.35
7	4	1973	44.2
8	4	1973	42.11
9	4	1973	39.11
10	4	1973	37.32
11	4	1973	36.11
12	4	1973	33.44
13	4	1973	32.2
14	4	1973	32.3
15	4	1973	30.98
16	4	1973	30.03
17	4	1973	30.44
18	4	1973	34.93
19	4	1973	34.89
20	4	1973	34.4
21	4	1973	33.03
22	4	1973	30.49
23	4	1973	27.73
24	4	1973	25.38
25	4	1973	22.79
26	4	1973	20.9
27	4	1973	18.56
28	4	1973	17.2
29	4	1973	16.07
30	4	1973	14.92
1	5	1973	16.5
2	5	1973	17.84
3	5	1973	17.81
4	5	1973	17.33
5	5	1973	19.75
6	5	1973	24.94
7	5	1973	27.77
8	5	1973	28.42
9	5	1973	28.33
10	5	1973	30.18
11	5	1973	32.59
12	5	1973	41.71
13	5	1973	49.71
14	5	1973	48.82
15	5	1973	46.65
16	5	1973	43.37
17	5	1973	39.58
18	5	1973	35.38
19	5	1973	30.87
20	5	1973	27.48
21	5	1973	24.54
22	5	1973	22.12
23	5	1973	19.85
24	5	1973	17.41
25	5	1973	15.81
26	5	1973	14.43
27	5	1973	12.93
28	5	1973	12.29
29	5	1973	11.51
30	5	1973	12.05
31	5	1973	12.1
1	6	1973	12.21
2	6	1973	12.06
3	6	1973	12.46
4	6	1973	12.16
5	6	1973	11.91
6	6	1973	11.01
7	6	1973	10.47
8	6	1973	10.16
9	6	1973	12.48
10	6	1973	15.55
11	6	1973	27.59
12	6	1973	57.09
13	6	1973	63.35
14	6	1973	60.4
15	6	1973	55.6
16	6	1973	50.94
17	6	1973	47.06
18	6	1973	43.99
19	6	1973	40.75
20	6	1973	37.33
21	6	1973	33.31
22	6	1973	29.37
23	6	1973	25.91
24	6	1973	23.01
25	6	1973	20.93
26	6	1973	18.22
27	6	1973	16.34
28	6	1973	14.9
29	6	1973	13.49
30	6	1973	15.32
1	7	1973	19.84
2	7	1973	24.67
3	7	1973	23.53
4	7	1973	21.52
5	7	1973	19.76
6	7	1973	18.44
7	7	1973	16.85
8	7	1973	15.61
9	7	1973	14.01
10	7	1973	13.01
11	7	1973	13.27
12	7	1973	13.06
13	7	1973	12.29
14	7	1973	11.98
15	7	1973	11.72
16	7	1973	10.53
17	7	1973	9.963
18	7	1973	9.486
19	7	1973	10.16
20	7	1973	12.8
21	7	1973	12.94
22	7	1973	12.88
23	7	1973	12.1
24	7	1973	11.25
25	7	1973	10.43
26	7	1973	9.77
27	7	1973	9.228
28	7	1973	8.743
29	7	1973	8.292
30	7	1973	7.905
31	7	1973	7.598
1	8	1973	7.292
2	8	1973	7.466
3	8	1973	8.335
4	8	1973	11.08
5	8	1973	14.98
6	8	1973	17.41
7	8	1973	20.31
8	8	1973	20.49
9	8	1973	20.95
10	8	1973	21.85
11	8	1973	20.67
12	8	1973	18.5
13	8	1973	16.76
14	8	1973	14.99
15	8	1973	13.62
16	8	1973	12.48
17	8	1973	11.42
18	8	1973	10.8
19	8	1973	9.984
20	8	1973	9.575
21	8	1973	8.909
22	8	1973	8.274
23	8	1973	7.951
24	8	1973	7.598
25	8	1973	7.214
26	8	1973	6.923
27	8	1973	6.648
28	8	1973	6.529
29	8	1973	6.003
30	8	1973	5.918
31	8	1973	14.77
1	9	1973	26.4
2	9	1973	34.65
3	9	1973	37.21
4	9	1973	38.13
5	9	1973	39.38
6	9	1973	38.52
7	9	1973	39.81
8	9	1973	38.98
9	9	1973	38.34
10	9	1973	35.45
11	9	1973	31.46
12	9	1973	27.66
13	9	1973	24.62
14	9	1973	21.72
15	9	1973	19.47
16	9	1973	17.3
17	9	1973	15.33
18	9	1973	13.68
19	9	1973	12.42
20	9	1973	11.83
21	9	1973	11.22
22	9	1973	10.34
23	9	1973	9.952
24	9	1973	9.379
25	9	1973	8.922
26	9	1973	8.678
27	9	1973	10.35
28	9	1973	25.22
29	9	1973	47.27
30	9	1973	49.27
1	10	1973	45.46
2	10	1973	41.58
3	10	1973	37.05
4	10	1973	33.15
5	10	1973	29.27
6	10	1973	25.74
7	10	1973	23.19
8	10	1973	23.24
9	10	1973	28.5
10	10	1973	28.75
11	10	1973	26.52
12	10	1973	23.89
13	10	1973	21.47
14	10	1973	18.85
15	10	1973	16.73
16	10	1973	15.17
17	10	1973	14.2
18	10	1973	14.92
19	10	1973	15.66
20	10	1973	17.17
21	10	1973	23.91
22	10	1973	27.87
23	10	1973	32.72
24	10	1973	33.43
25	10	1973	35.68
26	10	1973	35.08
27	10	1973	32.18
28	10	1973	29.52
29	10	1973	27.37
30	10	1973	25.83
31	10	1973	23.68
1	11	1973	21.54
2	11	1973	19.4
3	11	1973	17.63
4	11	1973	24.65
5	11	1973	30.23
6	11	1973	39.28
7	11	1973	36.56
8	11	1973	51.57
9	11	1973	58.9
10	11	1973	55.88
11	11	1973	55.39
12	11	1973	70.95
13	11	1973	73.91
14	11	1973	70.36
15	11	1973	65.27
16	11	1973	59.41
17	11	1973	56.38
18	11	1973	90.07
19	11	1973	91.46
20	11	1973	80.74
21	11	1973	70.95
22	11	1973	76.96
23	11	1973	75.73
24	11	1973	91.46
25	11	1973	82.68
26	11	1973	72.71
27	11	1973	63.1
28	11	1973	65.82
29	11	1973	48.38
30	11	1973	42.03
1	12	1973	47.06
2	12	1973	43.66
3	12	1973	63.64
4	12	1973	72.71
5	12	1973	76.96
6	12	1973	75.12
7	12	1973	66.94
8	12	1973	58.39
9	12	1973	54.9
10	12	1973	60.97
11	12	1973	60.97
12	12	1973	70.36
13	12	1973	69.78
14	12	1973	64.18
15	12	1973	59.93
16	12	1973	58.9
17	12	1973	55.88
18	12	1973	50.64
19	12	1973	44.49
20	12	1973	40.83
21	12	1973	37.38
22	12	1973	35.23
23	12	1973	33.67
24	12	1973	30.92
25	12	1973	36.3
26	12	1973	48.38
27	12	1973	56.88
28	12	1973	58.9
29	12	1973	60.97
30	12	1973	59.41
31	12	1973	54.42
1	1	1974	50.68
2	1	1974	46.05
3	1	1974	40.88
4	1	1974	36.51
5	1	1974	32.98
6	1	1974	29.86
7	1	1974	28.47
8	1	1974	26.89
9	1	1974	26.23
10	1	1974	27.12
11	1	1974	29.39
12	1	1974	35.99
13	1	1974	26.51
14	1	1974	35.74
15	1	1974	36.25
16	1	1974	36.51
17	1	1974	51.65
18	1	1974	87.93
19	1	1974	95.04
20	1	1974	84.51
21	1	1974	72.95
22	1	1974	64.17
23	1	1974	64.74
24	1	1974	64.17
25	1	1974	64.74
26	1	1974	62.51
27	1	1974	60.33
28	1	1974	63.61
29	1	1974	62.51
30	1	1974	57.68
31	1	1974	52.62
1	2	1974	46.95
2	2	1974	39.68
3	2	1974	37.03
4	2	1974	35.23
5	2	1974	36.51
6	2	1974	34.97
7	2	1974	32.24
8	2	1974	35.48
9	2	1974	51.16
10	2	1974	60.87
11	2	1974	66.44
12	2	1974	68.76
13	2	1974	63.06
14	2	1974	57.16
15	2	1974	49.26
16	2	1974	46.95
17	2	1974	46.5
18	2	1974	41.71
19	2	1974	38.34
20	2	1974	38.88
21	2	1974	49.95
22	2	1974	52.62
23	2	1974	48.79
24	2	1974	46.5
25	2	1974	45.16
26	2	1974	41.29
27	2	1974	37.55
28	2	1974	33.47
1	3	1974	29.86
2	3	1974	25.45
3	3	1974	23.88
4	3	1974	22.64
5	3	1974	20.65
6	3	1974	19.73
7	3	1974	19.12
8	3	1974	18.32
9	3	1974	17.11
10	3	1974	15.93
11	3	1974	14.85
12	3	1974	13.4
13	3	1974	12.44
14	3	1974	11.66
15	3	1974	10.69
16	3	1974	10.11
17	3	1974	11.5
18	3	1974	15.55
19	3	1974	15.75
20	3	1974	15.86
21	3	1974	15.78
22	3	1974	16.49
23	3	1974	16.5
24	3	1974	16.05
25	3	1974	14.52
26	3	1974	13.76
27	3	1974	12.69
28	3	1974	11.77
29	3	1974	10.91
30	3	1974	10.34
31	3	1974	10.01
1	4	1974	8.979
2	4	1974	7.746
3	4	1974	7.311
4	4	1974	6.939
5	4	1974	6.72
6	4	1974	6.226
7	4	1974	5.845
8	4	1974	5.574
9	4	1974	5.36
10	4	1974	5.09
11	4	1974	5.25
12	4	1974	4.754
13	4	1974	4.372
14	4	1974	4.159
