"ID","forest_cov_500m","forest_cov_1km","forest_cov_2km","forest_cov_3km","forest_cov_4km","forest_cov_5km","pres","x","y"
1,0.450574712643678,0.360744985673352,0.325784721226888,0.356280846998886,0.343035752668912,0.314525837852712,1,846279.4,921444.95
2,0.859931113662457,0.780005729017473,0.738158366176997,0.737881393719345,0.703869580795414,0.727286276038383,0,899063.5,989168.9
3,0.568493150684932,0.704649827784156,0.686076493339063,0.722367248185407,0.723696232465648,0.723194735816396,0,898755.1,990398.25
4,0.795637198622273,0.781151532512174,0.705540821446491,0.763546013442487,0.749328366228463,0.717916676220393,1,867689.65,1007135.95
5,0.911697247706422,0.853295128939828,0.862323514656346,0.84201643207439,0.78948499776086,0.763829177414732,1,868534.7,1001561.45
6,0.850456621004566,0.842709529276693,0.74165113945822,0.744364493122771,0.73616510507175,0.734181713958154,0,867288.25,1006417.75
7,0.691867124856816,0.814432989690722,0.824827981651376,0.803228065707373,0.75405313412515,0.757345439121413,1,871425.125,1004016.45
8,0.785796105383734,0.748353850558259,0.766117478510029,0.760908338110708,0.760641822316936,0.75905396264918,1,872611.75,1003293.95
9,0.931584948688712,0.898737808376363,0.795156552267679,0.774889292427283,0.759508411114495,0.752361302154975,1,869999.4,1005795.85
10,0.968,0.841124175509034,0.742638102744143,0.75492787313314,0.746282827559027,0.733875960105468,1,869256.975,1007598.55
11,0.395189003436426,0.635790077430456,0.814716629648205,0.7416642782077,0.706441904625416,0.717276166456494,1,868103.075,1009001.475
12,0.466052934407365,0.389286737324549,0.399627453789941,0.389631894026239,0.419108690979437,0.391509217646519,1,848545.15,921726.4
13,0.850917431192661,0.783892232731442,0.750519452604428,0.746678984422287,0.718705770643352,0.708056307029208,1,862003.175,1000559.35
14,0.852064220183486,0.813880126182965,0.683531603841192,0.686801108668642,0.691979720893571,0.683624691924113,0,867107.675,1010820.2
15,0.829324169530355,0.627687016337059,0.547200917496954,0.588643673768351,0.637133900582176,0.660563816249556,1,861935.65,986359.475
16,0.697940503432494,0.586888061837962,0.648702880894367,0.649079793669999,0.623714664469206,0.63185950271113,0,866875.675,982365.325
17,0.927586206896552,0.811120664946976,0.694639529883904,0.71363491557821,0.739540798051436,0.742656332408448,0,883971.75,938610.475
18,0.792192881745121,0.810818546078993,0.803152991759226,0.812006369426752,0.798559733443204,0.770748541095812,1,870981.5,1002773.425
19,0.768613974799542,0.80527674218526,0.733715514152633,0.703835747254496,0.696680341819094,0.662791897375933,1,882163.775,943493.1
20,0.306192660550459,0.493982808022923,0.428110665137615,0.438694267515924,0.44284409093352,0.46305000802513,1,889016.775,1014229
21,0.0160183066361556,0.234012044737597,0.269939089931924,0.317007929178741,0.355815911574497,0.383969001845674,1,895867.1,1011880.85
22,0.973563218390805,0.815759312320917,0.743961006379471,0.715445601299073,0.723021518284271,0.70595180778137,0,846938.95,984261.95
23,0.903669724770642,0.721057167480609,0.719269340974212,0.708846655843122,0.719875309040095,0.697331009813813,0,847034.5,983809.7
24,0.781214203894616,0.61337543053961,0.475102099305008,0.385430927441179,0.370115560333244,0.403313080362261,0,812598.9,970310.4
25,0.630309988518944,0.562338779019776,0.456825510569688,0.391466327017991,0.388168267163537,0.419100788701394,0,812679.1,970837.7
26,0.902745995423341,0.876755517340212,0.843519380955793,0.809666327050433,0.77024218973918,0.75955476075842,1,867643.1,1002564.05
27,0.892571428571429,0.881136950904393,0.84791636832307,0.797936699993632,0.759225422757237,0.762231749816581,1,867614.15,1003607.1
28,0.943871706758305,0.869739478957916,0.791717417783191,0.752905958408968,0.735928486976461,0.741951756397322,1,867111.45,1004782.8
29,0.725917431192661,0.609916881627974,0.398322700881657,0.418343949044586,0.441735485373412,0.43832333956272,0,1323236.65,848200.825
30,0.648275862068965,0.540160642570281,0.370779267330991,0.3479174627436,0.380480550429127,0.401733308877476,0,1319390.1,809631.5
31,0.397244546498278,0.428202923473775,0.489466895958727,0.536280817990699,0.493883983738381,0.475068505715498,0,1322458.475,809631.825
32,0.368421052631579,0.377612367592328,0.366950791490581,0.409185005891907,0.430784383954155,0.415953958682044,0,1299536,827878.35
